Название,Латынь,На русском,Honey,Flore,Level,Gorge,,,
Sycamore Maple,Acer pseudoplatanus,клен белый,1,may,tree layer,Digora gorge,,0,non-insect-pollinated
Goatsbeard,Aruncus dioicus,Волжанка двудомная,1,june - july,shrub layerовый,Digora gorge,,1,honey plant
White Butterbur,Petasites albus,Белокопы́тник,1,april - may,herbaceous,Digora gorge,,2,pollen plant
Twinflower,Linnaea borealis,Линне́я,1,end june-july,herbaceous,Digora gorge,,3,honey plant and pollen plant
Golden Chervil,Anthriscus cerefolium,Купырь бутенели́стный,1,april - june,herbaceous,Digora gorge,,,
Siberian Saxifrage,Saxifraga sibirica,Камнеломка,1,end may - start june,herbaceous,Digora gorge,,,
Bird's-foot Trefoil,Lotus corniculatus,Лядвенец рога́тый,1,start may - september,herbaceous,Digora gorge,,,
Rowans and Mountain Ashes,,Рябина,1,end may,tree layer,Digora gorge,,,
Artemisiinae,,Полыневые,2,july-august,herbaceous,Digora gorge,,,
Lactūca,,Латук,1,july — august,herbaceous,Digora gorge,,,
Iris colchica,,,1,may-june,herbaceous,Digora gorge,,,
Paris incompleta,,,1,july,herbaceous,Digora gorge,,,
Big Betony,,Буквица крупноцветковая,,june-july,herbaceous,Digora gorge,,,
Anemonastrum fasciculatum,,,,may-june,herbaceous,Digora gorge,,,
Violet Sage,,Шалфей дубравный,,june—august,herbaceous,Digora gorge,,,
Viper's Bugloss,,Синя́к обыкнове́нный,,end june - 20-25 july,herbaceous,Digora gorge,,,
Bloody Crane's-Bill,,Гера́нь крова́во-кра́сная,,end june - augustа,herbaceous,Digora gorge,,,
Bittercresses and Toothworts,,сердечник,,may - june,herbaceous,Digora gorge,,,
Ribes biebersteinii,,Смородина скальная,,april - june,shrub layerовый,Digora gorge,,,
Fringed Catchfly,Silene catesbaei,смолевка,,june - july,herbaceous,Digora gorge,,,
Asyneuma campanuloides,,свободноцветка,0,july - august,herbaceous,Digora gorge,,,
,,бузина черная,,end june - start july,shrub layerовый,Digora gorge,,,
,,буковые леса,0,march,tree layer,Digora gorge,,,
,,лещина,0,june,tree layer,Digora gorge,,,
Córnus,,сведина,,start june - end augustа,herbaceous,Digora gorge,,,
Annual Fleabane,Erigeron annuus,Мелколепе́стник одноле́тний,,middle june - july,herbaceous,Digora gorge,,,
Violets,,Фиалка,3,may-september,,Digora gorge,,,
Genus Gagea,,Гусиный лук,2,start spring,,Digora gorge,,,
Caucasian Astrantia,,Астра́нция,1,end spring - middle september,,Digora gorge,,,
European Mistletoe,Viscum album,Омела белая,1,march - april,herbaceous,Kurtatin gorge,,,
Guelder-Rose ,Viburnum opulus,Кали́на обыкнове́нная,1,end may - start june (10—14 days),herbaceous,Kurtatin gorge,,,
Plume Thistles,,Бодя́к,1,july - september,herbaceous,Kurtatin gorge,,,
Knautia montana,,Скабиоза,1,june -  september,herbaceous,Kurtatin gorge,,,
Alchemilla sericata,Alchemílla,,1,june - july,herbaceous,Kurtatin gorge,,,
Willowherbs,,иван чай,1,end june - august,herbaceous,Kurtatin gorge,,,
Goatsbeard,,,,june-july,herbaceous,Kurtatin gorge,,,
Glandular Globe-Thistle,,мордовник,3,june - july,herbaceous,Kurtatin gorge,,,
Centaurea phrygia salicifolia,,василек,1,june - octobre,herbaceous,Kurtatin gorge,,,
Sticky Sage,,шалфей,1,june—august,herbaceous,Kurtatin gorge,,,
Red Raspberry,,малина,1,june - july,shrub layer,Kurtatin gorge,,,
Papaver fugax,,,0,may-june,herbaceous,Kurtatin gorge,,,
Long Beech Fern,,папоротник,0,-,herbaceous,Kurtatin gorge,,,
Cirsium echinus,,василек,,june и до поздней осени,herbaceous,Kurtatin gorge,,,
Dropwort,Filipendula,Та́волга обыкнове́нная,3,june - july,herbaceous,Kurtatin gorge,,,
Pedicularis chroorrhyncha,,Мытник,1,july - august,herbaceous,Kurtatin gorge,,,
Plume Thistles,,Бодя́к,3,july - september,herbaceous,Kurtatin gorge,,,
Purple Mullein,,Коровя́к фиоле́товый,2,june - july,herbaceous,Kurtatin gorge,,,
Caucasian Lily,,лилия,2,june - august,herbaceous,Kurtatin gorge,,,
Campanula saxifraga,,колокольчик,,june - september,herbaceous,Kurtatin gorge,,,
Whorled Coralroot,,сердечник,,may - june,herbaceous,Kurtatin gorge,,,
Grape Hyacinths,Muscari,Гадю́чий лук,,ранней весной и длится до 25 дней,herbaceous,Kurtatin gorge,,,
