"","input","filtered","denoisedF","denoisedR","merged","nonchim"
"Bee.01.16S.repl1.R1.fastq.gz",9198,8248,8169,8199,7714,7574
"Bee.01.16S.repl2.R1.fastq.gz",10928,9435,9326,9333,8673,8566
"Bee.02.16S.repl1.R1.fastq.gz",11506,10431,10228,10296,9301,9178
"Bee.02.16S.repl2.R1.fastq.gz",12226,10946,10815,10885,9930,9845
"Bee.03.16S.repl1.R1.fastq.gz",11878,10669,10489,10605,8985,8850
"Bee.03.16S.repl2.R1.fastq.gz",14687,13285,13168,13190,11307,11148
"Bee.04.16S.repl1.R1.fastq.gz",12969,11641,11455,11551,9577,9432
"Bee.04.16S.repl2.R1.fastq.gz",11084,7551,7440,7509,6056,6018
"Bee.05.16S.repl1.R1.fastq.gz",12275,10428,10260,10338,6100,5888
"Bee.05.16S.repl2.R1.fastq.gz",12354,11083,11002,11046,6772,6589
"Bee.06.16S.repl1.R1.fastq.gz",12902,11472,11349,11404,10322,10082
"Bee.06.16S.repl2.R1.fastq.gz",11157,9922,9798,9860,8955,8776
"Bee.07.16S.repl1.R1.fastq.gz",14377,12762,12636,12684,12398,12395
"Bee.07.16S.repl2.R1.fastq.gz",13258,11915,11807,11833,11480,11454
"Bee.08.16S.repl1.R1.fastq.gz",14283,12819,12674,12752,11763,11000
"Bee.08.16S.repl2.R1.fastq.gz",13648,12236,12152,12159,11328,10772
"Bee.09.16S.repl1.R1.fastq.gz",7800,6833,6765,6786,6619,6450
"Bee.09.16S.repl2.R1.fastq.gz",12554,11117,11023,11091,10804,10509
"Bee.10.16S.repl1.R1.fastq.gz",12894,11124,11001,11088,9549,9327
"Bee.10.16S.repl2.R1.fastq.gz",15490,13582,13521,13528,11591,11285
"Bee.11.16S.repl1.R1.fastq.gz",10499,9295,9190,9238,8130,8000
"Bee.11.16S.repl2.R1.fastq.gz",15731,13996,13931,13941,12251,11987
"Bee.12.16S.repl1.R1.fastq.gz",12272,10965,10830,10888,10101,9909
"Bee.12.16S.repl2.R1.fastq.gz",13217,11702,11631,11652,11053,10844
"Bee.13.16S.repl1.R1.fastq.gz",11710,10190,10096,10144,8098,8003
"Bee.13.16S.repl2.R1.fastq.gz",13505,12207,12150,12167,9698,9595
"Bee.14.16S.repl1.R1.fastq.gz",11233,9945,9810,9889,8286,8190
"Bee.14.16S.repl2.R1.fastq.gz",11003,9830,9777,9769,8403,8350
"Bee.15.16S.repl1.R1.fastq.gz",12684,11401,11239,11338,11020,10935
"Bee.15.16S.repl2.R1.fastq.gz",761,640,583,612,514,514
"Bee.16.16S.repl1.R1.fastq.gz",10762,9108,9036,9070,8833,8258
"Bee.16.16S.repl2.R1.fastq.gz",10531,9193,9158,9171,9011,8373
"Bee.17.16S.repl1.R1.fastq.gz",9203,8195,8103,8160,7523,7475
"Bee.17.16S.repl2.R1.fastq.gz",9562,7709,7660,7683,7076,7045
"Bee.18.16S.repl1.R1.fastq.gz",16010,14613,14434,14533,10812,10113
"Bee.18.16S.repl2.R1.fastq.gz",14608,12302,12236,12250,8370,7690
"Bee.19.16S.repl1.R1.fastq.gz",12524,11172,10945,11047,10351,10143
"Bee.19.16S.repl2.R1.fastq.gz",12015,10557,10448,10514,9971,9800
"Bee.20.16S.repl1.R1.fastq.gz",12353,11157,10987,11060,10504,10277
"Bee.20.16S.repl2.R1.fastq.gz",8965,2526,2503,2511,2449,2412
"Bee.21.16S.repl1.R1.fastq.gz",13042,11562,11380,11472,10908,10856
"Bee.21.16S.repl2.R1.fastq.gz",10538,9229,9182,9209,8911,8848
"Bee.22.16S.repl1.R1.fastq.gz",14217,12862,12690,12794,10898,10691
"Bee.22.16S.repl2.R1.fastq.gz",10003,8893,8843,8844,7577,7492
"Bee.23.16S.repl1.R1.fastq.gz",16327,14479,14316,14380,12884,12395
"Bee.23.16S.repl2.R1.fastq.gz",9051,7882,7819,7799,6972,6851
"Bee.24.16S.repl1.R1.fastq.gz",10691,9474,9286,9368,8442,8345
"Bee.24.16S.repl2.R1.fastq.gz",6662,5789,5732,5747,5159,5122
"Bee.25.16S.repl1.R1.fastq.gz",11475,10090,10010,10062,8910,8632
"Bee.25.16S.repl2.R1.fastq.gz",12366,10603,10386,10518,9241,8997
"Bee.26.16S.repl1.R1.fastq.gz",14214,12578,12471,12524,12161,11598
"Bee.26.16S.repl2.R1.fastq.gz",11799,10268,10114,10212,9792,9347
"Bee.27.16S.repl1.R1.fastq.gz",7019,6312,6226,6256,5880,5864
"Bee.27.16S.repl2.R1.fastq.gz",7027,6268,6132,6176,5689,5658
"Bee.28.16S.repl1.R1.fastq.gz",12436,11012,10913,10962,10787,10621
"Bee.28.16S.repl2.R1.fastq.gz",9351,4648,4522,4598,4373,4330
"Bee.29.16S.repl1.R1.fastq.gz",10818,9080,8934,9013,8662,8453
"Bee.29.16S.repl2.R1.fastq.gz",9474,8569,8456,8513,8226,8026
"Bee.30.16S.repl1.R1.fastq.gz",11992,10772,10655,10697,10075,10018
"Bee.30.16S.repl2.R1.fastq.gz",7911,7061,6930,6994,6566,6557
"Bee.31.16S.repl1.R1.fastq.gz",10158,9070,8986,9029,8282,8263
"Bee.31.16S.repl2.R1.fastq.gz",6363,5650,5561,5606,5182,5178
"Bee.32.16S.repl1.R1.fastq.gz",15107,13557,13392,13451,11328,10941
"Bee.32.16S.repl2.R1.fastq.gz",9592,8474,8409,8427,7098,7046
"Bee.33.16S.repl1.R1.fastq.gz",11780,10385,10318,10347,9168,9022
"Bee.33.16S.repl2.R1.fastq.gz",12519,10968,10873,10912,9653,9472
"Bee.34.16S.repl1.R1.fastq.gz",15959,14468,14391,14385,12929,12727
"Bee.34.16S.repl2.R1.fastq.gz",14510,13086,12938,12987,11516,11327
"Bee.35.16S.repl1.R1.fastq.gz",14932,13477,13409,13414,10793,10571
"Bee.35.16S.repl2.R1.fastq.gz",13286,11987,11814,11878,9351,9166
"Bee.36.16S.repl1.R1.fastq.gz",15349,13967,13834,13907,12549,12319
"Bee.36.16S.repl2.R1.fastq.gz",12627,10858,10707,10776,9633,9490
"Bee.37.16S.repl1.R1.fastq.gz",13441,11595,11459,11481,9763,9608
"Bee.37.16S.repl2.R1.fastq.gz",10013,8918,8792,8849,7419,7350
"Bee.38.16S.repl1.R1.fastq.gz",15026,13531,13459,13489,13107,12346
"Bee.38.16S.repl2.R1.fastq.gz",11613,10392,10286,10299,10003,9549
"Bee.39.16S.repl1.R1.fastq.gz",16057,14575,14489,14493,12656,12301
"Bee.39.16S.repl2.R1.fastq.gz",12953,11764,11656,11633,10285,10117
"Bee.40.16S.repl1.R1.fastq.gz",1277,1096,1057,1072,857,851
"Bee.40.16S.repl2.R1.fastq.gz",10094,8987,8904,8945,8148,8014
"BeeNCE.16S.repl1.R1.fastq.gz",4750,4183,4135,4151,3840,3840
"BeeNCE.16S.repl2.R1.fastq.gz",7297,6485,6375,6424,5926,5909
